statefip,Mean_Index,year_anes,state_anes,Join_year,Trump_2015,value,Explicit_value,hate_crimes_per_100000,Value,state
17,-0.46590687345654896,2008,illinois,2008,0,0.32350652675630515,3.9370245492291165,0.048320111071828646,-0.09408023562841517,Illinois
17,0.19897037855308827,2012,illinois,2012,0,0.3374644919568935,4.049141564716768,0.03893121057533633,0.5753660810853181,Illinois
17,-0.10060568713116418,2016,illinois,2016,1,0.20735038662487784,3.838606031121871,0.02335872634520179,0.13010342583891546,Illinois
17,-0.5601410315355151,2020,illinois,2020,1,0.23859598519604658,3.7952217478668917,0,-0.3215450463394685,Illinois
18,0.6343052332121905,1994,indiana,1994,0,NA,NA,0,0.6343052332121905,Indiana
18,0.8620995419603589,1998,indiana,1998,0,NA,NA,0.07209377814473508,0.9341933201050939,Indiana
18,0.12098961580591674,2000,indiana,2000,0,NA,NA,0.03288650980568841,0.15387612561160516,Indiana
18,0.1203597259271186,2002,indiana,2002,0,NA,NA,0.08221627451422103,0.20257600044133964,Indiana
18,0.19987531605064565,2004,indiana,2004,0,0.3342304119583508,NA,0.04932976470853261,0.583435492717529,Indiana
18,0.22178267251324998,2008,indiana,2008,0,0.425305243588739,4.178821178821179,0.08221627451422103,0.72930419061621,Indiana
18,0.47060696813789205,2012,indiana,2012,0,0.45308487992044455,4.2334827088062745,0.0770342313932673,1.0007260794516037,Indiana
18,0.14412290651874582,2016,indiana,2016,1,0.31460155151764446,4.009000519260726,0.06162738511461384,0.5203518431510041,Indiana
18,-0.4077109441499433,2020,indiana,2020,1,0.3151686185050553,3.929259218970956,0,-0.09254232564488801,Indiana
19,0.21841970112644665,1994,iowa,1994,0,NA,NA,0.14457876615035178,0.3629984672767984,Iowa
19,0.5071192289088994,1998,iowa,1998,0,NA,NA,0.10843407461276384,0.6155533035216633,Iowa
19,-0.05597131120905528,2000,iowa,2000,0,NA,NA,0.06841477827625546,0.012443467067200176,Iowa
19,-0.11223689824374247,2002,iowa,2002,0,NA,NA,0.03420738913812773,-0.07802950910561474,Iowa
19,0.006360333964307105,2004,iowa,2004,0,0.4412993181434279,NA,0,0.447659652107735,Iowa
19,0.3157973343052638,2012,iowa,2012,0,0.3763852069962903,4.268681318681319,0.06557628604113666,0.7577588273426907,Iowa
19,-0.09364269136961846,2016,iowa,2016,1,0.3550546399854607,4.142364666530138,0.098364429061705,0.3597763776775473,Iowa
19,-0.3592385206253874,2020,iowa,2020,1,0.295523816584514,3.929189146302761,0,-0.06371470404087343,Iowa
20,0.008984652707223196,1994,kansas,1994,0,NA,NA,0,0.008984652707223196,Kansas
20,-0.07727012999214296,2000,kansas,2000,0,NA,NA,0.26050291949343346,0.18323278950129052,Kansas
20,-0.014142704776335493,2002,kansas,2002,0,NA,NA,0.14885881113910485,0.13471610636276934,Kansas
20,0.20665616447954693,2008,kansas,2008,0,0.39611796749348577,4.079179646936656,0.14885881113910485,0.7516329431121376,Kansas
20,0.30711704197234685,2012,kansas,2012,0,0.4163287320990595,4.222244094488189,0.13990078935522873,0.8633465634266351,Kansas
20,-0.013313559738368648,2016,kansas,2016,1,0.32523573158301106,4.095073891625615,0.06995039467761437,0.38187256652225676,Kansas
20,-0.3410678704490467,2020,kansas,2020,1,0.2992212171385577,3.9213633127669674,0,-0.04184665331048898,Kansas
21,-0.2003903426515216,2000,kentucky,2000,0,NA,NA,0.07424169532396106,-0.12614864732756054,Kentucky
21,-0.5723589992561582,2002,kentucky,2002,0,NA,NA,0.07424169532396105,-0.4981173039321971,Kentucky
21,0.2376354642150923,2012,kentucky,2012,0,0.4190222830413661,4.006961302299015,0.18406604657883344,0.8407237938352918,Kentucky
21,0.09083361523960348,2016,kentucky,2016,1,0.32710178311776406,4.037774400540358,0.1840660465788334,0.602001444936201,Kentucky
21,-0.30153735916238184,2020,kentucky,2020,1,0.3205740796453336,3.9426688621026926,0,0.01903672048295174,Kentucky
22,0.172314448242853,1994,louisiana,1994,0,NA,NA,0,0.172314448242853,Louisiana
22,0.4091888725090545,2000,louisiana,2000,0,NA,NA,0,0.4091888725090545,Louisiana
22,0.24090814244092032,2002,louisiana,2002,0,NA,NA,0,0.24090814244092032,Louisiana
22,0.2709948500741728,2004,louisiana,2004,0,0.4343256943003163,NA,0,0.7053205443744891,Louisiana
22,0.12297961505339178,2008,louisiana,2008,0,0.4116157827513586,4.066455194290246,0,0.5345953978047504,Louisiana
22,-0.07682841152206898,2012,louisiana,2012,0,0.46013355825580304,4.1290760869565215,0,0.38330514673373406,Louisiana
22,-0.04411931545084737,2016,louisiana,2016,1,0.25969651525793835,3.9758858267716537,0,0.21557719980709097,Louisiana
22,-0.3851634469186478,2020,louisiana,2020,1,0.3032550074149304,3.833173919974494,0,-0.0819084395037174,Louisiana
23,0.614289475801578,2000,maine,2000,0,NA,NA,0.23522825373601275,0.8495177295375907,Maine
23,1.0250524094754097,2002,maine,2002,0,NA,NA,0.23522825373601275,1.2602806632114225,Maine
23,0.06909503656176502,2012,maine,2012,0,0.3507076020448698,4.310881965774462,0,0.4198026386066348,Maine
23,0.4295706292646186,2016,maine,2016,1,0.2517467085930165,3.770903010033445,0.07532576510262759,0.7566431029602627,Maine
23,-0.6531300409887784,2020,maine,2020,1,0.25310977050487093,3.9502515104294815,0,-0.4000202704839074,Maine
24,0.24138116542709945,1994,maryland,1994,0,NA,NA,0.3555893202721889,0.5969704856992883,Maryland
24,-0.2112933094095307,1998,maryland,1998,0,NA,NA,0.4183403767908106,0.2070470673812799,Maryland
24,-0.0571709997772456,2000,maryland,2000,0,NA,NA,0.13208456808817967,0.07491356831093407,Maryland
24,0.4216392577861318,2002,maryland,2002,0,NA,NA,0.20756146413856802,0.6292007219246998,Maryland
24,-0.21271323066173653,2004,maryland,2004,0,0.23768946797154433,NA,0.03773844802519419,0.06271468533500199,Maryland
24,0.021941308610152744,2012,maryland,2012,0,0.2768737543037526,3.8837156063314873,0.0172831508981535,0.3160982138120588,Maryland
24,0.04147985901518312,2016,maryland,2016,1,0.2174708614493983,3.7405244531515374,0.03456630179630701,0.29351702226088844,Maryland
24,-0.5708744348072271,2020,maryland,2020,1,0.20451093107123847,3.7543134102002407,0,-0.36636350373598864,Maryland
25,0.4411029416039625,1994,massachusetts,1994,0,NA,NA,0.43218817872244514,0.8732911203264077,Massachusetts
25,0.39407490302644044,1998,massachusetts,1998,0,NA,NA,0.6981501348593343,1.0922250378857747,Massachusetts
25,-0.23489442908012342,2000,massachusetts,2000,0,NA,NA,0.9128899909324841,0.6779955618523608,Massachusetts
25,0.1451959791886981,2002,massachusetts,2002,0,NA,NA,0.9443689561370525,1.0895649353257506,Massachusetts
25,-0.07672107343919542,2004,massachusetts,2004,0,0.26187976396344825,NA,0.6295793040913683,0.8147379946156211,Massachusetts
25,-0.20748533877861505,2008,massachusetts,2008,0,0.29318774387431035,4.06009308287107,0.4407055128639578,0.5264079179596531,Massachusetts
25,0.20949870261044592,2012,massachusetts,2012,0,0.2579127981731845,4.0645429760367335,0.28975543726078024,0.7571669380444106,Massachusetts
25,-0.3542063190831886,2016,massachusetts,2016,1,0.17140986552295728,3.9137983454478276,0.28975543726078024,0.1069589837005489,Massachusetts
25,-0.7098049900474106,2020,massachusetts,2020,1,0.19133631084811734,3.8059097301337106,0,-0.5184686791992933,Massachusetts
26,0.39808257627739047,1994,michigan,1994,0,NA,NA,0.21540559257540004,0.6134881688527904,Michigan
26,0.620374852596746,1998,michigan,1998,0,NA,NA,0.09693251665893002,0.717307369255676,Michigan
26,0.03044828377851331,2000,michigan,2000,0,NA,NA,0.16103527970972586,0.19148356348823917,Michigan
26,-0.05631904702592208,2002,michigan,2002,0,NA,NA,0.10064704981857865,0.04432800279265657,Michigan
26,0.4010021762299229,2004,michigan,2004,0,0.36710367896945284,NA,0.1207764597822944,0.8888823149816701,Michigan
26,-0.059682018412725406,2008,michigan,2008,0,0.3966677254024965,4.101852066633308,0.10064704981857865,0.43763275680834973,Michigan
26,0.23822726009556774,2012,michigan,2012,0,0.3713782876511814,3.988842953911694,0.20247886778676627,0.8120844155335154,Michigan
26,0.0015052616081621928,2016,michigan,2016,1,0.30478216295606814,3.935123146597183,0.09111549050404481,0.39740291506827513,Michigan
26,-0.4043331127080574,2020,michigan,2020,1,0.29757358469519823,3.891009426551453,0,-0.10675952801285915,Michigan
27,0.29972230608213085,1994,minnesota,1994,0,NA,NA,0.4351243356338433,0.7348466417159741,Minnesota
27,0.666015178560505,1998,minnesota,1998,0,NA,NA,0.5725320205708464,1.2385471991313515,Minnesota
27,0.0185890435241206,2000,minnesota,2000,0,NA,NA,0.4478783594948583,0.46646740301897893,Minnesota
27,0.08519977111059311,2002,minnesota,2002,0,NA,NA,0.5700270029934561,0.6552267741040492,Minnesota
27,0.06936340520959833,2004,minnesota,2004,0,0.3819522932864625,NA,0.6107432174929887,1.0620589159890494,Minnesota
27,0.0539723220097005,2008,minnesota,2008,0,0.39542271378542515,3.8756164924048138,0.28501350149672805,0.7344085372918536,Minnesota
27,0.20217530098110276,2012,minnesota,2012,0,0.3541516173044268,3.9660240889054448,0.07532128293234794,0.6316482012178775,Minnesota
27,0.10298424356563118,2016,minnesota,2016,1,0.31081591456208035,3.866796168416742,0.2071335280639568,0.6209336861916683,Minnesota
27,-0.45357443941998776,2020,minnesota,2020,1,0.27077382645153614,3.82656717921781,0,-0.18280061296845163,Minnesota
28,-0.3989257605938735,2000,mississippi,2000,0,NA,NA,0,-0.3989257605938735,Mississippi
28,-0.3380719926421948,2002,mississippi,2002,0,NA,NA,0,-0.3380719926421948,Mississippi
28,0.16390397766143108,2008,mississippi,2008,0,0.40041461129896444,4.012820512820513,0,0.5643185889603956,Mississippi
28,0.038068349897023845,2012,mississippi,2012,0,0.3924501679061974,4.222222222222221,0.0336696255533603,0.46418814335658154,Mississippi
28,-0.3349972759456888,2016,mississippi,2016,1,0.4233545215270106,3.9258684863523574,0,0.0883572455813218,Mississippi
28,-0.426760724823623,2020,mississippi,2020,1,0.3728467334708999,3.9971930243669376,0,-0.05391399135272307,Mississippi
29,0.43643050856098964,1994,missouri,1994,0,NA,NA,0.15680368237767697,0.5932341909386666,Missouri
29,0.9645789775734291,1998,missouri,1998,0,NA,NA,0.11760276178325771,1.0821817393566868,Missouri
29,-0.09023119225717584,2000,missouri,2000,0,NA,NA,0.03574307165234858,-0.05448812060482726,Missouri
29,-0.11960696569566807,2002,missouri,2002,0,NA,NA,0.01787153582617429,-0.10173542986949378,Missouri
29,-0.09337578887860219,2004,missouri,2004,0,0.32795897129806817,NA,0.01787153582617429,0.25245471824564025,Missouri
29,0.2748976782763567,2012,missouri,2012,0,0.3597317797384969,4.195176618253541,0,0.6346294580148536,Missouri
29,0.014201491605293881,2016,missouri,2016,1,0.3156157742303647,3.946298562731438,0.0333542853836018,0.36317155121926037,Missouri
29,-0.42057633526107496,2020,missouri,2020,1,0.30830435967912984,3.9433079056865465,0,-0.11227197558194513,Missouri
30,0.6964420625363442,2000,montana,2000,0,NA,NA,0.11077386622947914,0.8072159287658234,Montana
30,0.051286289608633386,2012,montana,2012,0,0.45153582825287986,4.23494983277592,0,0.5028221178615132,Montana
30,0.35123523342863927,2016,montana,2016,1,0.28417727951990607,4.112929623567921,0,0.6354125129485453,Montana
30,-0.26180193680942404,2020,montana,2020,1,0.31278434362244056,4.004761904761905,0,0.05098240681301652,Montana
31,0.5089466693879288,1994,nebraska,1994,0,NA,NA,0,0.5089466693879288,Nebraska
31,-0.49020641252139174,2000,nebraska,2000,0,NA,NA,0.1754587075477657,-0.31474770497362603,Nebraska
31,-0.7640483683039463,2002,nebraska,2002,0,NA,NA,0.23394494339702096,-0.5301034249069253,Nebraska
31,0.4343651685577811,2012,nebraska,2012,0,0.3969344014498817,4.031167108753316,0.16389600470709326,0.9951955747147561,Nebraska
31,0.12015688003394641,2016,nebraska,2016,1,0.30811121716182915,4.009722222222223,0.05463200156903108,0.48290009876480666,Nebraska
31,-0.391490536582323,2020,nebraska,2020,1,0.269603929735872,3.807849829351536,0,-0.12188660684645103,Nebraska
32,0.3751341677514805,2000,nevada,2000,0,NA,NA,0.3999388093621675,0.775072977113648,Nevada
32,0.04443740591121463,2002,nevada,2002,0,NA,NA,0.24996175585135472,0.29439916176256936,Nevada
32,0.13603775044456193,2008,nevada,2008,0,0.34967974959858605,3.946621830550402,0.1999694046810838,0.6856869047242318,Nevada
32,0.436231350774966,2012,nevada,2012,0,0.27290225227234954,3.746981023576768,0.03697347005629581,0.7461070731036114,Nevada
32,-0.06438217127951952,2016,nevada,2016,1,0.19890992593591528,3.784507678410117,0.07394694011259162,0.2084746947689874,Nevada
32,-0.5217718508653593,2020,nevada,2020,1,0.15424677196614622,3.5650421626984126,0,-0.36752507889921304,Nevada
33,0.31610601283835205,1994,new hampshire,1994,0,NA,NA,0,0.31610601283835205,New Hampshire
33,0.5747345266329869,1998,new hampshire,1998,0,NA,NA,0.09055985916130704,0.6652943857942939,New Hampshire
33,-0.05388489630785492,2000,new hampshire,2000,0,NA,NA,0.08098372551052141,0.027098829202666493,New Hampshire
33,-0.3792653124864082,2002,new hampshire,2002,0,NA,NA,0.24295117653156423,-0.13631413595484398,New Hampshire
33,-0.23658663193508744,2004,new hampshire,2004,0,0.36328662222944363,NA,0.24295117653156423,0.3696511668259204,New Hampshire
33,0.025529270869085893,2012,new hampshire,2012,0,0.37911940902030894,4.055555555555555,0.22783212417762097,0.6324808040670158,New Hampshire
33,-0.2824708657137136,2016,new hampshire,2016,1,0.2831071420482948,4.106217975349674,0.07594404139254032,0.07658031772712151,New Hampshire
33,-0.7446238455737705,2020,new hampshire,2020,1,0.27450193356489505,3.904251020325696,0,-0.47012191200887543,New Hampshire
34,0.2514488843896933,1994,new jersey,1994,0,NA,NA,0.6754125666742608,0.9268614510639541,New Jersey
34,0.8160511926482648,1998,new jersey,1998,0,NA,NA,0.37667239295295313,1.192723585601218,New Jersey
34,0.20530868818918827,2000,new jersey,2000,0,NA,NA,0.2970266562414271,0.5023353444306153,New Jersey
34,0.09721142988275451,2002,new jersey,2002,0,NA,NA,0.22574025874348458,0.3229516886262391,New Jersey
34,0.09649152583051576,2004,new jersey,2004,0,0.22128906776281226,NA,0.30890772249108417,0.6266883160844121,New Jersey
34,0.31131708588215473,2008,new jersey,2008,0,0.27644916780561823,4.005344212954397,0.20197812624417041,0.7897443799319434,New Jersey
34,0.15076468061720966,2012,new jersey,2012,0,0.2801384623558332,3.909139162323876,0.2158692532196331,0.6467723961926759,New Jersey
34,-0.19768960776651012,2016,new jersey,2016,1,0.18747425137909762,3.845457150762906,0.19314617393335592,0.18293081754594342,New Jersey
34,-0.5194627928993851,2020,new jersey,2020,1,0.17317650270259893,3.764123131770191,0,-0.3462862901967862,New Jersey
35,0.46409131217538907,1998,new mexico,1998,0,NA,NA,0,0.46409131217538907,New Mexico
35,-0.43543802136488086,2000,new mexico,2000,0,NA,NA,0,-0.43543802136488086,New Mexico
35,-0.17985219596783003,2002,new mexico,2002,0,NA,NA,0.05498689937122481,-0.12486529659660522,New Mexico
35,0.0608054394785747,2008,new mexico,2008,0,0.34470027963684746,4.147192469977281,0,0.40550571911542216,New Mexico
35,0.2009022233848302,2012,new mexico,2012,0,0.2993083195110585,3.7736363636363635,0.04840430372345265,0.5486148466193413,New Mexico
35,-0.21778932545185214,2016,new mexico,2016,1,0.2669705614484331,3.9146359048305697,0,0.049181235996580974,New Mexico
35,-0.4037940620300079,2020,new mexico,2020,1,0.28848485368883714,3.870282564744392,0,-0.11530920834117075,New Mexico
36,0.13354470898331575,1994,new york,1994,0,NA,NA,0,0.13354470898331575,New York
36,0.39183134767709843,1998,new york,1998,0,NA,NA,0,0.39183134767709843,New York
36,-0.06233563260514461,2000,new york,2000,0,NA,NA,0,-0.06233563260514461,New York
36,0.02446109302738087,2002,new york,2002,0,NA,NA,0.08958655855922891,0.11404765158660979,New York
36,-0.09251996293764171,2004,new york,2004,0,0.18813795206508277,NA,0.05269797562307583,0.1483159647505169,New York
36,-0.05232644615299483,2008,new york,2008,0,0.2421190081565875,3.8516544020287444,0.036888582936153075,0.22668114493974573,New York
36,0.12706841725494833,2012,new york,2012,0,0.21659773218323664,3.887915208090237,0.11344718927627037,0.45711333871445536,New York
36,-0.16487941859892824,2016,new york,2016,1,0.13593338500588448,3.7845440232072853,0.11344718927627036,0.0845011556832266,New York
